id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
137,11,1-0 1-2 1-4 1-6 0-7 0-10 2-3 4-5 7-8 8-9,1791,S,1,6,1 1 1 1 1 1 1 1 2 1 1,6 5 5 5 5 5 5 5 5 6 5,828
138,11,1-0 1-2 1-4 0-6 2-3 4-5 6-7 6-9 7-8 9-10,726,S,1,5,2 1 1 2 1 2 1 1 2 1 2,5 4 5 5 5 5 4 5 5 5 5,752
139,11,1-0 1-2 1-4 0-6 2-3 4-5 6-7 6-9 6-10 7-8,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 5 6 6 6 6 6 5 5 5 5,803
140,11,1-0 1-2 1-4 0-6 0-10 2-3 4-5 6-7 6-9 7-8,2007,S,1,5,1 1 1 2 1 2 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5 5,847
141,11,1-0 1-2 1-4 0-6 0-9 2-3 4-5 6-7 7-8 9-10,1023,S,1,5,1 1 1 1 1 1 1 1 1 1 2,5 5 5 5 5 5 5 4 5 5 5,760
142,11,1-0 1-2 1-4 0-6 0-9 0-10 2-3 4-5 6-7 7-8,0,U,2,6,3 2 3 3 3 3 2 3 3 2 2,6 5 5 5 5 5 5 5 6 5 5,558
143,11,1-0 1-2 1-4 0-6 2-3 4-5 6-7 6-8 6-9 6-10,1921,S,1,7,1 4 2 3 2 3 2 1 1 1 1,7 6 7 7 7 7 6 6 6 6 6,461
144,11,1-0 1-2 1-4 0-6 0-10 2-3 4-5 6-7 6-8 6-9,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6,816
145,11,1-0 1-2 1-4 0-6 0-9 2-3 4-5 6-7 6-8 9-10,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6,853
146,11,1-0 1-2 1-4 0-6 0-9 0-10 2-3 4-5 6-7 6-8,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6,914
147,11,1-0 1-2 1-4 0-6 0-8 0-10 2-3 4-5 6-7 8-9,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 5 6 6 6 6 5 5 5 5 5,969
148,11,1-0 1-2 1-4 0-6 0-8 0-9 0-10 2-3 4-5 6-7,0,U,2,6,3 2 3 3 3 3 2 3 2 2 2,6 6 6 6 6 6 6 6 6 6 6,688
149,11,1-0 1-2 1-4 1-5 1-6 1-7 0-8 2-3 8-9 9-10,0,U,2,7,2 3 2 2 2 2 2 2 2 3 4,6 7 6 5 6 6 6 6 7 6 6,512
150,11,1-0 1-2 1-4 1-5 1-6 0-7 2-3 7-8 7-10 8-9,373,S,1,7,1 2 1 2 1 1 1 2 1 2 2,6 7 6 5 6 6 6 7 6 5 6,589
151,11,1-0 1-2 1-4 1-5 1-6 0-7 0-10 2-3 7-8 8-9,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6,827
152,11,1-0 1-2 1-4 1-5 0-6 2-3 6-7 6-9 6-10 7-8,0,U,2,7,2 2 2 2 2 2 2 2 2 2 2,6 7 6 5 6 6 7 6 5 6 6,605
153,11,1-0 1-2 1-4 1-5 0-6 0-10 2-3 6-7 6-9 7-8,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6,927
154,11,1-0 1-2 1-4 1-5 0-6 0-9 2-3 6-7 7-8 9-10,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 5 6 5,830
155,11,1-0 1-2 1-4 1-5 0-6 0-9 0-10 2-3 6-7 7-8,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6,848
156,11,1-0 1-2 1-4 1-5 0-6 2-3 6-7 6-8 6-9 6-10,0,U,4,8,4 5 4 5 4 4 5 4 4 4 4,7 8 7 7 7 7 6 8 8 8 8,229
157,11,1-0 1-2 1-4 1-5 0-6 0-10 2-3 6-7 6-8 6-9,0,U,2,7,2 3 2 3 2 2 3 2 2 2 3,7 7 7 6 7 7 7 6 6 6 6,647
158,11,1-0 1-2 1-4 1-5 0-6 0-9 2-3 6-7 6-8 9-10,0,U,2,6,2 3 2 3 2 2 3 2 2 3 3,6 6 6 6 6 6 6 6 6 6 6,656
