id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
12453,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 8-10 10-11 11-12,3748,S,1,6,2 2 1 2 2 1 2 1 2 1 1 1 2,6 6 6 6 6 6 6 6 6 6 6 5 6,2592
12454,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 9-10 8-11 11-12,8191,F,1,6,1 1 1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6 6 6,3326
12455,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 9-10 9-11 9-12,0,U,2,7,3 3 2 3 3 2 3 3 2 2 2 2 2,7 7 7 7 7 7 7 7 7 6 7 7 7,1945
12456,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 9-10 9-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,6 6 7 6 6 7 6 6 6 6 5 5 5,2796
12457,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 9-10 10-11 10-12,6692,S,1,7,2 2 1 2 2 1 2 2 2 1 2 1 1,6 6 7 6 6 7 6 6 6 6 5 6 6,1969
12458,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 9-10 10-11 11-12,7972,S,1,6,2 2 1 2 2 1 2 2 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 5 4 6,1794
12459,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 5-9 5-10 5-11 5-12,7953,S,1,9,1 2 2 2 1 2 3 2 1 1 1 1 1,8 8 9 8 8 9 8 9 8 8 8 8 8,3527
12460,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 5-9 5-10 5-11 11-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,8 8 7 8 8 8 8 8 8 8 8 8 8,5039
12461,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 5-9 5-10 10-11 10-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,8 8 7 8 8 8 8 7 8 8 8 8 8,4909
12462,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 5-9 5-10 10-11 11-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,8 8 7 8 8 7 8 8 8 8 8 7 7,4260
12463,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 5-9 9-10 5-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 6 7 6 7 7 6 7 7 7 7 7 7,5006
12464,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 5-9 9-10 9-11 9-12,7210,S,1,8,2 1 2 1 2 1 2 2 2 2 1 1 1,8 8 7 8 8 8 8 7 8 8 8 8 8,3682
12465,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 5-9 9-10 9-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 7 7 7 7 7 7 7 7 7 7 7,4577
12466,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 5-9 9-10 10-11 10-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,8 8 7 8 8 7 8 8 8 8 7 7 7,3684
12467,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 5-9 9-10 10-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 7 7 6 7 7 7 6 7,3590
12468,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 5-10 10-11 10-12,6186,S,1,7,2 1 2 1 2 1 2 2 2 2 2 1 1,7 6 7 6 7 7 6 7 7 7 7 7 7,3772
12469,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 5-10 10-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 6 7 6 7 7 6 7 6 7 7 6 7,4236
12470,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 8-10 8-11 8-12,0,U,3,8,4 3 4 3 4 3 4 4 4 3 3 3 3,8 8 8 8 8 8 8 8 8 8 8 8 8,2039
12471,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 8-10 8-11 11-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 8 7 7 8 7 8 7 7 7 7 7,3707
12472,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 8-10 10-11 10-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 8 7 7 8 7 8 7 7 7 7 7,3954
12473,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 8-10 10-11 11-12,1198,S,1,7,2 1 1 1 2 1 2 1 2 2 1 2 2,7 6 7 6 7 7 6 7 7 7 7 6 7,2931
12474,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 9-10 8-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 7 7 6 6 7 7 7 7,4080
12475,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 9-10 9-11 9-12,8027,S,1,8,1 1 2 1 1 2 1 2 1 1 1 1 1,8 8 8 8 8 8 8 8 8 7 7 7 7,2904
12476,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 9-10 9-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 7 7 6 7 7 6 6 6,3582
12477,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 9-10 10-11 10-12,6666,S,1,7,2 1 2 1 2 2 2 2 2 1 2 1 1,7 7 7 7 7 7 7 7 7 7 6 7 7,2426
